assoc_cnpj;assoc_filial;assoc_datmvt;assoc_ass;assoc_desass;assoc_valdev;assoc_valven;assoc_margem;assoc_repres;assoc_metdia;
01141021000190;0000;20240510;XX;TOTAL DO DIA                  ;000000000000.00;000000176713.93;0039.04;1393.00;000000000.00;
01141021000190;0000;20240511;AC;ACOUGUE                       ;000000000000.00;000000024567.94;0039.50;6794.00;000000000.00;
01141021000190;0000;20240511;AL;ALIMENTOS                     ;000000000000.00;000000014723.64;0044.46;2364.00;000000000.00;
01141021000190;0000;20240511;BA;BAZAR - SUPER                 ;000000000000.00;000000002309.41;0055.29;0941.00;000000000.00;
01141021000190;0000;20240511;BE;BEBIDAS                       ;000000000000.00;000000012777.46;0022.70;7746.00;000000000.00;
01141021000190;0000;20240511;HO;HORTIFRUTI                    ;000000000000.00;000000007938.70;0033.99;3870.00;000000000.00;
01141021000190;0000;20240511;HP;HIGIENE PESSOAL               ;000000000000.00;000000003161.05;0035.38;6105.00;000000000.00;
01141021000190;0000;20240511;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000008055.43;0040.95;5543.00;000000000.00;
01141021000190;0000;20240511;LI;LIMPEZA                       ;000000000000.00;000000004079.35;0046.71;7935.00;000000000.00;
01141021000190;0000;20240511;PA;PADARIA                       ;000000000000.00;000000005691.25;0054.88;9125.00;000000000.00;
01141021000190;0000;20240511;RP;RACOES PET                    ;000000000000.00;000000000303.77;0041.55;0377.00;000000000.00;
01141021000190;0000;20240511;VE;VESTUARIO                     ;000000000000.00;000000000075.30;0060.56;7530.00;000000000.00;
01141021000190;0000;20240511;XX;TOTAL DO DIA                  ;000000000000.00;000000083683.30;0039.12;8330.00;000000000.00;
01141021000190;0000;20240512;AC;ACOUGUE                       ;000000000000.00;000000023123.51;0039.67;2351.00;000000000.00;
01141021000190;0000;20240512;AL;ALIMENTOS                     ;000000000000.00;000000017418.89;0046.55;1889.00;000000000.00;
01141021000190;0000;20240512;BA;BAZAR - SUPER                 ;000000000000.00;000000003332.95;0054.77;3295.00;000000000.00;
01141021000190;0000;20240512;BE;BEBIDAS                       ;000000000000.00;000000015003.19;0025.71;0319.00;000000000.00;
01141021000190;0000;20240512;HO;HORTIFRUTI                    ;000000000000.00;000000012557.42;0032.44;5742.00;000000000.00;
01141021000190;0000;20240512;HP;HIGIENE PESSOAL               ;000000000000.00;000000003576.05;0038.17;7605.00;000000000.00;
01141021000190;0000;20240512;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000010913.23;0041.93;1323.00;000000000.00;
01141021000190;0000;20240512;LI;LIMPEZA                       ;000000000000.00;000000005522.08;0047.44;2208.00;000000000.00;
01141021000190;0000;20240512;PA;PADARIA                       ;000000000000.00;000000008100.42;0054.37;0042.00;000000000.00;
01141021000190;0000;20240512;RP;RACOES PET                    ;000000000000.00;000000000806.72;0043.20;0672.00;000000000.00;
01141021000190;0000;20240512;VE;VESTUARIO                     ;000000000000.00;000000000027.90;0056.36;2790.00;000000000.00;
01141021000190;0000;20240512;XX;TOTAL DO DIA                  ;000000000000.00;000000100382.36;0040.21;8236.00;000000000.00;
01141021000190;0000;20240513;AC;ACOUGUE                       ;000000000000.00;000000020467.70;0038.57;6770.00;000000000.00;
01141021000190;0000;20240513;AL;ALIMENTOS                     ;000000000000.00;000000011380.47;0046.01;8047.00;000000000.00;
01141021000190;0000;20240513;BA;BAZAR - SUPER                 ;000000000000.00;000000002141.41;0056.04;4141.00;000000000.00;
01141021000190;0000;20240513;BE;BEBIDAS                       ;000000000000.00;000000009322.82;0023.63;2282.00;000000000.00;
01141021000190;0000;20240513;HO;HORTIFRUTI                    ;000000000000.00;000000007754.46;0032.40;5446.00;000000000.00;
01141021000190;0000;20240513;HP;HIGIENE PESSOAL               ;000000000000.00;000000002630.82;0038.67;3082.00;000000000.00;
01141021000190;0000;20240513;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000005901.20;0043.52;0120.00;000000000.00;
01141021000190;0000;20240513;LI;LIMPEZA                       ;000000000000.00;000000004731.31;0047.99;3131.00;000000000.00;
01141021000190;0000;20240513;PA;PADARIA                       ;000000000000.00;000000004112.08;0054.66;1208.00;000000000.00;
01141021000190;0000;20240513;RP;RACOES PET                    ;000000000000.00;000000000428.37;0044.20;2837.00;000000000.00;
01141021000190;0000;20240513;VE;VESTUARIO                     ;000000000000.00;000000000029.88;0060.63;2988.00;000000000.00;
01141021000190;0000;20240513;XX;TOTAL DO DIA                  ;000000000000.00;000000068900.52;0039.70;0052.00;000000000.00;
01141021000190;0000;20240514;AC;ACOUGUE                       ;000000000000.00;000000024366.60;0039.37;6660.00;000000000.00;
01141021000190;0000;20240514;AL;ALIMENTOS                     ;000000000000.00;000000015387.33;0046.70;8733.00;000000000.00;
01141021000190;0000;20240514;BA;BAZAR - SUPER                 ;000000000000.00;000000002727.56;0055.90;2756.00;000000000.00;
01141021000190;0000;20240514;BE;BEBIDAS                       ;000000000000.00;000000010328.21;0022.64;2821.00;000000000.00;
01141021000190;0000;20240514;HO;HORTIFRUTI                    ;000000000000.00;000000009600.04;0034.77;0004.00;000000000.00;
01141021000190;0000;20240514;HP;HIGIENE PESSOAL               ;000000000000.00;000000002618.88;0038.91;1888.00;000000000.00;
01141021000190;0000;20240514;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000007984.38;0043.16;8438.00;000000000.00;
01141021000190;0000;20240514;LI;LIMPEZA                       ;000000000000.00;000000005052.63;0048.30;5263.00;000000000.00;
01141021000190;0000;20240514;PA;PADARIA                       ;000000000000.00;000000005590.10;0054.05;9010.00;000000000.00;
01141021000190;0000;20240514;RP;RACOES PET                    ;000000000000.00;000000000585.47;0039.66;8547.00;000000000.00;
01141021000190;0000;20240514;VE;VESTUARIO                     ;000000000000.00;000000000034.90;0056.55;3490.00;000000000.00;
01141021000190;0000;20240514;XX;TOTAL DO DIA                  ;000000000000.00;000000084276.10;0040.53;7610.00;000000000.00;
01141021000190;0000;20240515;AC;ACOUGUE                       ;000000000000.00;000000013528.82;0040.94;2882.00;000000000.00;
01141021000190;0000;20240515;AL;ALIMENTOS                     ;000000000000.00;000000014927.78;0045.73;2778.00;000000000.00;
01141021000190;0000;20240515;BA;BAZAR - SUPER                 ;000000000000.00;000000002973.21;0055.24;7321.00;000000000.00;
01141021000190;0000;20240515;BE;BEBIDAS                       ;000000000000.00;000000007950.34;0027.43;5034.00;000000000.00;
01141021000190;0000;20240515;HO;HORTIFRUTI                    ;000000000000.00;000000009474.53;0036.43;7453.00;000000000.00;
01141021000190;0000;20240515;HP;HIGIENE PESSOAL               ;000000000000.00;000000003044.98;0039.09;4498.00;000000000.00;
01141021000190;0000;20240515;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000007594.77;0042.89;9477.00;000000000.00;
01141021000190;0000;20240515;LI;LIMPEZA                       ;000000000000.00;000000005083.21;0044.23;8321.00;000000000.00;
01141021000190;0000;20240515;PA;PADARIA                       ;000000000000.00;000000007083.99;0054.24;8399.00;000000000.00;
01141021000190;0000;20240515;RP;RACOES PET                    ;000000000000.00;000000000872.11;0043.99;7211.00;000000000.00;
01141021000190;0000;20240515;VE;VESTUARIO                     ;000000000000.00;000000000098.15;0059.56;9815.00;000000000.00;
01141021000190;0000;20240515;XX;TOTAL DO DIA                  ;000000000000.00;000000072631.89;0042.15;3189.00;000000000.00;
01141021000190;0000;20240516;AC;ACOUGUE                       ;000000000000.00;000000016638.49;0040.47;3849.00;000000000.00;
01141021000190;0000;20240516;AL;ALIMENTOS                     ;000000000000.00;000000015028.36;0045.23;2836.00;000000000.00;
01141021000190;0000;20240516;BA;BAZAR - SUPER                 ;000000000000.00;000000003244.94;0054.28;4494.00;000000000.00;
01141021000190;0000;20240516;BE;BEBIDAS                       ;000000000000.00;000000010171.67;0026.16;7167.00;000000000.00;
01141021000190;0000;20240516;HO;HORTIFRUTI                    ;000000000000.00;000000011042.42;0033.98;4242.00;000000000.00;
01141021000190;0000;20240516;HP;HIGIENE PESSOAL               ;000000000000.00;000000003595.87;0037.82;9587.00;000000000.00;
01141021000190;0000;20240516;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000007678.42;0042.62;7842.00;000000000.00;
01141021000190;0000;20240516;LI;LIMPEZA                       ;000000000000.00;000000004427.65;0045.46;2765.00;000000000.00;
01141021000190;0000;20240516;PA;PADARIA                       ;000000000000.00;000000007520.73;0055.14;2073.00;000000000.00;
01141021000190;0000;20240516;RP;RACOES PET                    ;000000000000.00;000000001206.18;0040.06;0618.00;000000000.00;
01141021000190;0000;20240516;VE;VESTUARIO                     ;000000000000.00;000000000202.77;0059.70;0277.00;000000000.00;
01141021000190;0000;20240516;XX;TOTAL DO DIA                  ;000000000000.00;000000080757.50;0040.98;5750.00;000000000.00;
01141021000190;0000;20240517;AC;ACOUGUE                       ;000000000000.00;000000026058.47;0040.12;5847.00;000000000.00;
01141021000190;0000;20240517;AL;ALIMENTOS                     ;000000000000.00;000000020589.52;0045.51;8952.00;000000000.00;
01141021000190;0000;20240517;BA;BAZAR - SUPER                 ;000000000000.00;000000003922.33;0055.10;2233.00;000000000.00;
01141021000190;0000;20240517;BE;BEBIDAS                       ;000000000000.00;000000012742.78;0025.07;4278.00;000000000.00;
01141021000190;0000;20240517;HO;HORTIFRUTI                    ;000000000000.00;000000010845.54;0035.04;4554.00;000000000.00;
01141021000190;0000;20240517;HP;HIGIENE PESSOAL               ;000000000000.00;000000004010.12;0038.43;1012.00;000000000.00;
01141021000190;0000;20240517;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000009792.07;0042.81;9207.00;000000000.00;
01141021000190;0000;20240517;LI;LIMPEZA                       ;000000000000.00;000000006462.22;0048.50;6222.00;000000000.00;
01141021000190;0000;20240517;PA;PADARIA                       ;000000000000.00;000000007370.80;0054.37;7080.00;000000000.00;
01141021000190;0000;20240517;RP;RACOES PET                    ;000000000000.00;000000001007.93;0043.83;0793.00;000000000.00;
01141021000190;0000;20240517;VE;VESTUARIO                     ;000000000000.00;000000000166.59;0057.29;6659.00;000000000.00;
01141021000190;0000;20240517;XX;TOTAL DO DIA                  ;000000000000.00;000000102968.37;0041.17;6837.00;000000000.00;
01141021000190;0000;20240518;AC;ACOUGUE                       ;000000000000.00;000000022782.51;0040.73;8251.00;000000000.00;
01141021000190;0000;20240518;AL;ALIMENTOS                     ;000000000000.00;000000014288.43;0044.06;8843.00;000000000.00;
01141021000190;0000;20240518;BA;BAZAR - SUPER                 ;000000000000.00;000000001954.14;0054.91;5414.00;000000000.00;
01141021000190;0000;20240518;BE;BEBIDAS                       ;000000000000.00;000000011391.34;0022.38;9134.00;000000000.00;
01141021000190;0000;20240518;HO;HORTIFRUTI                    ;000000000000.00;000000008406.06;0035.56;0606.00;000000000.00;
01141021000190;0000;20240518;HP;HIGIENE PESSOAL               ;000000000000.00;000000002397.56;0039.34;9756.00;000000000.00;
01141021000190;0000;20240518;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000006441.83;0041.90;4183.00;000000000.00;
01141021000190;0000;20240518;LI;LIMPEZA                       ;000000000000.00;000000003462.43;0049.18;6243.00;000000000.00;
01141021000190;0000;20240518;PA;PADARIA                       ;000000000000.00;000000005338.58;0053.87;3858.00;000000000.00;
01141021000190;0000;20240518;RP;RACOES PET                    ;000000000000.00;000000000915.34;0043.31;1534.00;000000000.00;
01141021000190;0000;20240518;VE;VESTUARIO                     ;000000000000.00;000000000020.89;0057.19;2089.00;000000000.00;
01141021000190;0000;20240518;XX;TOTAL DO DIA                  ;000000000000.00;000000077399.11;0039.81;9911.00;000000000.00;
01141021000190;0000;20240519;AC;ACOUGUE                       ;000000000000.00;000000015870.39;0040.57;7039.00;000000000.00;
01141021000190;0000;20240519;AL;ALIMENTOS                     ;000000000000.00;000000013954.63;0045.29;5463.00;000000000.00;
01141021000190;0000;20240519;BA;BAZAR - SUPER                 ;000000000000.00;000000003390.41;0054.38;9041.00;000000000.00;
01141021000190;0000;20240519;BE;BEBIDAS                       ;000000000000.00;000000010577.60;0025.01;7760.00;000000000.00;
01141021000190;0000;20240519;HO;HORTIFRUTI                    ;000000000000.00;000000010579.95;0034.65;7995.00;000000000.00;
01141021000190;0000;20240519;HP;HIGIENE PESSOAL               ;000000000000.00;000000002953.46;0037.71;5346.00;000000000.00;
01141021000190;0000;20240519;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000008422.88;0043.73;2288.00;000000000.00;
01141021000190;0000;20240519;LI;LIMPEZA                       ;000000000000.00;000000004896.23;0047.63;9623.00;000000000.00;
01141021000190;0000;20240519;PA;PADARIA                       ;000000000000.00;000000006652.14;0054.54;5214.00;000000000.00;
01141021000190;0000;20240519;RP;RACOES PET                    ;000000000000.00;000000000834.53;0041.75;3453.00;000000000.00;
01141021000190;0001;20240519;XX;TOTAL DO DIA                  ;000000000000.00;000000078132.22;0040.98;0005.78;000043548.38;
01141021000190;0001;20240501;AC;ACOUGUE                       ;000000000000.00;000000013968.08;0041.53;0001.03;000000000.00;
